思考或决定	聊天或文档来源	日期	Git版本或提交	实际修改	测试结果	后续修正	当前状态	证据强度
人工拍板6★上限/3★入装/方案A	记忆 projectvl-game-design-decisions（07-12）｜[v2] + S-RAW-02（07-12 18:10 方案B仍为「暂定」）+ P2_交互重设计_线框与输入层改造清单.md	2026-07-12	skills schema升v0.4.0相关commit	stars锚点3/5/6 + amplifyAxis + anchors 1/3/6	—	装备语义两条两天后被自己推翻	6★/3★/方案A现行	中｜[v2] 四条拍板本身仍无一手记录（阶段三/四覆盖 07-14 21:43 起，晚于拍板）。**新增两条**：①07-12 18:10 方案B仍是「暂定选择」，故「改回方案A」发生在此之后；②废弃理由原文「锁定可逆与永久装备语义冲突」在设计文档中找到，从【项目记忆】升为【设计文档记载】
装备语义改为可撤销/可消耗	记忆（07-14）/ docs/Git事实核查报告 已核实｜[v2] + S-COWORK2-16（最接近的原始指令）+ S-USER-01（事后补述 TU-90）	2026-07-14	3f31f5a「allow equipped cards to be consumed」	economy.json：equipIrreversible=false、unequipPolicy=consume	—	与P2硬规则R11冲突，记忆写「S5前须拍板」，未见关闭	现行值	**中强（结果）／无（动机）**｜[v2] 结果层 commit + 配置值可核，不变。动机层**四条独立路径全部未找到**，极可能从未写下来过。最接近的一条指令（S-COWORK2-16）只说「改成什么」不说「为什么」，且措辞「对调替换」与最终「可撤销/可消耗」不完全一致。用户事后回忆（玩出来的、玩家反馈太憋屈+手牌被卡）标为事后补述，不升级证据等级
先R1手动调参环再回填KPI（否决直接定版门槛）	记忆 / docs/P6_R1_手动调参环_执行计划.md｜[v2] + S-RAW-02 RQ-2-02（07-13 12:17）	2026-07-12	调参面板/遥测HUD相关commit（07-13~14）	分组调参面板+preset+跳波/锁血/timeScale/seed；遥测HUD+会话导出；出怪双轨interval/budget	156测试绿（07-14）	R1-B只锁定E1/E4/E5/E7；E2/E3/E6至今未回填	部分完成	中强｜[v2] 计划存在且被认真对待有一手佐证（「我没完全看懂这个计划。请用更清楚易懂的语言向我解释说明」）；但「否决直接定版E1-E7门槛」这句具体否决的原话仍未找到
预算式并发出怪（维持同屏目标数）	docs/P6_R1_手动调参环_执行计划.md	2026-07-14	ecd61b4 / 2d74009「Add budget-based wave spawning」	budget.targetOnScreen 主动维持同屏数	遥测阶段B同屏P50升到10-18	07-21判定平铺14是错的，改分段曲线	被三阶段导演取代/包裹	强｜[v2] 不变
把满意preset焙入base，修6个config耦合测试	记忆 / docs/S4a_经济拍板_provisional.md｜[v2] + S4a 文档用户原话（TU-86）	2026-07-14	S4a相关commit	base改为budget/range150/dmg18·fr5/dropChance0.27/8波	19/20测试文件执行绿	S4b从未执行，口径澄清悬空	现行base源头	**强（上调）**｜[v2] 找到用户化简决策范围的原话：「只有Q5（拾取锚）有用，其余都从『每分钟掉落期望』派生，本轮不单独拍」。但「为何认定当时 preset 手感满意」仍无记录
精英Bounty全流程	记忆（07-10定案）/ codex-prompt-精英Bounty重做.md｜[v2] + S-RAW-03 RQ-3-05（六点构想完整原文）+ S-COWORK2-25	2026-07-16	168f60c ～ 86289b4（六连击，一天内）	模型重构→报价导演→敌群结算→优先索敌→视觉反馈→遥测接入	遥测含bountyAccept语义化输入	—	已实装	**极强（上调）**｜[v2] 原标「强」，依据是六个 commit 的闭环；本轮补上了**用户自己的六点完整设计构想原文**（表现层/功能层/数值层/可调参暴露四层分写），设计端与实现端现在都有一手证据
掉落导演三角色袋	docs/普通掉落导演_设计说明.md / D_掉落与拾取_调参说明.md｜[v2] + S-RAW-04 RQ-4-02（用户方向性目标原文）	2026-07-16	阶段2 掉落相关commit	dropTypePolicy.ts：roleBagSize=10、earlyMix 6/3/1→lateMix 1/7/2、build.topK=3	—	build.topK=3 在07-23被反用为「并行链≈3」的证据	现行	**强（参数）／中（归属）**｜[v2] 参数可读代码核对不变。**但归属须拆层**：用户提出的是方向性体验目标（探索→收敛→保留调整）；「时间序列角色袋」「每10次掉落生成一个袋」是 ChatGPT 在紧接回复中提出的（阶段四行1682/1700）。上一轮记的「Claude提出」可能混淆了两个AI工具
四档难度只乘敌人侧，hell=恒等对照	记忆（HEAD 673afff核实）/ codex-prompt-多难度系统.md｜[v2] + S-RAW-04 RQ-4-04 + S-COWORK2-21（TU-45）	2026-07-17	阶段2 难度框架+曲线微调	难度倍率乘在createEnemy基础公式；Enemy加statMods保外部倍率	阶段1硬门禁：全档恒1证地狱恒等	顺带修syncEnemyConfig抹掉Bounty倍率的bug	已实装	**中强（实现）／已纠正（归属）**｜[v2] 实现层不变。**归属错误已纠正**：用户初案就是同时改B+C且明确说是征询；「否决改B、只改C」是 ChatGPT 提的对案，Claude 核代码后二次确认，用户采纳。不得讲成「我否决了自己的初案」
三阶段体验导演+掉落节拍（密度分段曲线）	docs/作品集证据核对报告 §三｜[v2] + S-RAW-05 RQ-5-01（三阶段骨架完整原始提案）+ S-USER-01（TU-92）	2026-07-21	36300cf（07-21 22:21）	stagePlan.targetOnScreen 分段递增	遥测阶段C前90秒同屏P50回到6-7；波1/3/8命中目标	波9/10结构断裂（P50 4-8 / P95 47-66）	现行，有已知问题	**强（骨架，上调）／无（平铺14判错依据）**｜[v2] 三阶段划分、三段掉率目标、两目标间矛盾权衡、「不要再使用全局固定掉率」「不要再采用固定线性递增敌人数量曲线」——**全部由用户在对话第一句主动提出**，升级为一手。但「平铺14」这一措辞在九份记录+32会话中零命中，判错依据只有用户事后回忆（TU-92）；TU-87 给出了没记录的结构性原因（调参流程「人只打分不写理由」）
BOSS贴身持续伤害与曲线逼近	会话 local_942ff1ab / codex-prompt-BOSS贴身持续伤害与曲线逼近重构.md｜[v2] + S-RAW-06 RQ-6-01（诊断+方案完整原文）+ S-COWORK2-09	2026-07-22	阶段3 相关commit	消除瞬移导致的约16s空转；持续伤害+曲线逼近	按真实坐标540×730重算	纠正参考稿画布尺寸与hell倍率错误	已实装	**强（上调）**｜[v2] 原标「中强：用户原始描述未读到」。本轮找到完整原话，且证明**问题诊断与解决方向由用户在同一段发言中一次性给出**，不是「用户报bug、AI给方案」
神池构筑系统C0-C9（锚=并行链≈3）	会话 local_4510df03 / local_ed76fa24 / docs/神池构筑系统_总纲与阶段计划.md｜[v2] + S-RAW-06 RQ-6-03（用户自撰结构化设计说明书全文）+ S-COWORK2-04（TU-44）	2026-07-23	1d8e53e ～ e34a9d5（07-23~24）	数据契约→决策队列→波末奖励→神池活跃池→遗物化经验→单卡进化树→卡间进化→随机数值槽→35卡落地	C1-C3架构分水岭硬门禁；整体验收8条	门禁拦住了顺序错误，未拦住能力缺失（见目标定位原语）	已实装并扩到60卡	**强（实现与问题定义）／无（锚点表述）**｜[v2] 问题定义有原话（「卡槽数量限制了卡牌拾取与合成，二者之间有根本的矛盾」）、解法有原话（一主二副、不增卡种走养单卡深化）——均升级为一手。**但「并行链≈3」这一锚点表述在九份记录+32会话中全部零命中**，ChatGPT报告6称其为「反推」经核查为报告错误（C-02）
10波三段式，第10波即终局Boss	docs/神池构筑系统_总纲与阶段计划.md 决策4｜[v2] + S-RAW-06（第2011-2014行为 ChatGPT 应答内文本）	2026-07-23	阶段4 waves配置commit	totalWaves=10，3招募+5收敛+2兑现	10×59+9×20≈12.8分钟落回10-14中位	docs/P6_新KPI体系_v2_定版.md 因此被清空至今未重写	波次现行；KPI表仍空	**强（实现）／归属已纠正**｜[v2] 配置与清空原因不变。**归属错误已纠正**：用户原文只写「升级次数与节奏设定（待确定）」，三段式划分逐字出现在 ChatGPT 应答第2011-2014行，此后到文件末尾无用户发言。报告6写在「你提出」之后未切分，判为夸大（C-01）。另「10-14分钟」口径在原始记录中未找到，阶段五 ChatGPT 提的是「8-12分钟」
maxHpAdd词条失效等四项缺陷修复	会话 local_c531f803 / codex-prompt-BUG-数值词条未生效-血上限修复.md｜[v2] 阶段七/八/九检索零命中（预期，来源为 Claude 侧 S-COWORK2-08）	2026-07-24	阶段4后期 BUG修复commit	引入baseMaxHp+totalMaxHp+reconcileMaxHp；HUD分母修复；取整校验	数据驱动测试清单	纠正ChatGPT两处不实项（heal降级为防御性修复）	已修	中强｜[v2] 不变。本轮把它归入 TU-55「三段式协作流水线」的三处实证之一——证明 Claude 核实关卡确实拦下过 ChatGPT 的错误断言
防御反馈六种CombatVfx + 确定性护栏	会话 local_9d9aedbc	2026-07-24	阶段4 防御反馈VFX commit	吸收闪/破盾环/重铸环/反伤回冲弧/反击冲击环/减伤内闪；四处结算点接线	确定性护栏测试（一律走state.vfx，绝不新增spawnParticle）	—	已实装	中｜[v2] 不变（「绝不新增spawnParticle」是 Claude 替用户定的约束）
配置管线v1+配置编辑器v1+Excel双向同步+内容工作台	会话 local_b7898cb0 / docs/配置管线v1_说明.md 等｜[v2] + S-RAW-07 RQ-7-02（原始动机全文）	2026-07-26~29	阶段5「固化1-4」系列 + 编辑器commit（ff1d1ce等）	15个可写域；/__config/validate 实时校验；422不落盘；ATOM_CONTRACT驱动表单	npm run validate 0 error/0 warning，76文件648用例	后扩为内容设计工作台三步迭代	现行	**强（上调）**｜[v2] 实现层可实跑 npm run validate 复验不变。**新增完整原始动机**：被占位内容卡住 → 主动意识到「配置与代码分离是业内常见做法」→ 承认不熟悉并请求专业指导 →「我心中最理想的情况是最终有一个配置编辑器」
内容差异化诊断：缺的是可交易资源	记忆 projectvl-content-differentiation-diagnosis / scripts/audit_content.py｜[v2] + S-RAW-08 RQ-8-01（五点问题清单原文）	2026-07-29	阶段6 相关commit	五段体检脚本；神印方案；chain.spreadStatus（唯一新增引擎能力，3-5行）	41卡硬数据可复跑	同日被代码事实推翻两次（九宫格/equipSlots=3）	方案已定，部分实装	**强（问题诊断，上调）／中（量化数字归属）**｜[v2] 五点诊断清单找到完整原文（含「不同神池的经济、防御类卡牌技能尤其本质上相似」「技能分支缺乏真正区分，只是占位」）。**但「可交易资源」这一措辞与 41卡/33原子/210支/64支/39% 这组数字在阶段七/八/九全部零命中**，来自脚本产出或另一会话，不是用户原话（数字本身可复跑验证）
mergeRule退役，经济原子改零行为契约	记忆 / S0报告更新	2026-07-29	277a380（mergeRule退役）+ 阶段6 commit	由mergeMaterialRefund / wildcardRewardBonus 两个专用原子承接	tests/fusionOrderInvariance.test.ts 守着	—	已完成	强｜[v2] 不变
25格有向矩阵配方系统	会话 local_398de36d / 记忆 projectvl-evolution-recipe-system｜[v2] 阶段七/八/九检索「25格/5×5/有向矩阵」**全部零命中**；来源 S-CHAT-07 自身标注「用户原句未读到」	2026-07-30	e4ff2f9 / e87249c / 3c75312（07-30，单日20commit）	25条命名配方5×5矩阵；灰盒B0-B3分期；名册生成逻辑一行未改	7500状态穷举，零配方局0%	接受2:1不对称并改KPI口径；保底只发最低星复制卡	已实装	**强（实现与数学）／无（原创归属，重大降级）**｜[v2] commit、7500状态穷举、零配方局0% 这些结果层证据不变。**但「用户的拓扑判断取代AI方案」这一叙述在三条独立路径中查无实据**：①阶段七/八/九零命中；②唯一来源自认是转述；③ChatGPT报告8 称「同日形成」的决策过程在其依据的记录中完全不存在（C-04，本次最严重问题）。同期可确证的相邻事实方向相反：阶段八「九宫格」由 ChatGPT 提出、用户要求整理成正式版（RQ-8-02）
奖励蓄力条替换经验/等级/遗物	记忆 reward-meter-refactor-prompt｜[v2] + S-RAW-09 RQ-9-01（逐字原文）	2026-07-30	e8d839c / 3142b47 / c61a2dd；checkpoint提交 + archive/pre-reward-meter-v4 与 -2026-07-30 两分支	删relics.json/relicsEditor/relicView/xlsx relics sheet；REWARD_CELEBRATION_MS=2200非阻塞	—	08-04复核：它正是终局构筑兑现来源，结论改为「谁都不许加屏蔽开关」	现行	**极强（上调）**｜[v2] 「核心体验目标是简化游戏，提供更简单直接的正反馈」与「不要让玩家操控，只在确认奖励时点一下」两处**逐字命中**。**并新发现**：ChatGPT 的「构筑共鸣」机制思想种子来自用户原话「部分遗物机制可以根据玩家当前构筑作为特定方向奖励出现」——AI 完成的是命名与系统化，不是原创（本轮唯一一次上调用户贡献的修正）
目标定位原语缺口+设计指纹夹具	docs/目标定位原语与卡牌回填_规格_v1.md / 记忆｜[v2] 阶段七/八/九检索零命中（同日工作发生在其他会话）	2026-07-30	对应07-30内容重写批次；codex-prompt-全卡正式实装-原语与回填与配方卡.md	T1-T6原语契约；designFingerprints.json；V15硬失败/V16	64/210支跨卡字节级同构的实测	25配方卡实装规格§1.0作废，C6/C7由T5/T6取代	规格已出，回填进行中	强（可grep复验）｜[v2] 技术证据不变。补充：07-30 阶段九三个时间戳块讨论的是奖励条/验证波/状态栏UI，与本条完全不相关——说明同一天用户在多个会话并行推进不同问题，不得把不同会话内容混为一谈
基础属性词条分区（乘区拆分）	codex-prompt-N2-基础属性倍率词条与词条分区.md / docs/基础属性词条分区_落地说明.md	2026-07-30	分支 refactor/affix-base-stat-mul（已合入main）	乘区拆分	—	—	已合入	中强｜[v2] 不变
texts.json事故与加固	记忆 projectvl-main-broken-2afc292-recovery	2026-07-31	2afc292（事故）→ 13324f3 / 6bc5217 / 78d5516（40分钟内止血三连）	恢复texts.json；补齐5个模块；新增validateTextsFile接入构建	validateTextsFile 至今在绿（170699字节/20顶层键/35节点/210分支）	—	已闭环	强｜[v2] 不变
卡面尺寸预算与三条红线测试	记忆 projectvl-card-face-layout-budget	2026-07-31	阶段6~7 卡面文案重排commit	standard/compact两套变体实测；dock只剩2px	cardTitleLayout / renderSmoke / compactStageProportion 三条红线测试	—	现行	强｜[v2] 不变
AI报告事实核查与作品集定级	会话 local_81450cb6 / docs/作品集证据核对报告 + Git事实核查报告｜[v2] + v2/11_CHATGPT_REPORT_AUDIT.md + v2/12_CROSS_SOURCE_CONFLICTS.tsv + S-USER-01（TU-95）	2026-08-04~06	7c10f3c（08-04）；建议的 portfolio-baseline tag 未打	三份专项报告；实跑13项基线	94测试文件/756测试全绿；tsc干净；配置16项×2变体0错0警	新增原则：AI分析进母档前必须人工用可复现命令核验	进行中	强｜[v2] 本轮把这条原则用在了「AI 关于用户自己的叙述」上：十份报告抽查81处，【原话支持】72/【归纳】1/【夸大】4/【错误】4。**并发现一处冲突**：用户本人读那十份报告的判断是「『我』肯定都是我说的」，与逐字核查结果矛盾，两说并列保留（TU-95）
Unity移植线（协作者独立复刻）	docs/Git事实核查报告 §二.3	2026-07-28~08-03	origin/agent/unity-port：240提交，领先main 120；PR#4（草稿）	414文件改动，+65774/-4	团结EditMode测试240/240通过；卡池核对35/35+6/6缺失为0；Windows构建成功	—	进行中，作者 wlh219627-art	强（GitHub API可核）｜[v2] 不变
视觉编码体系：敌人无色化 + 技能专属几何图标	会话 S-COWORK2-27（local_c01f1c73）用户原话（TU-52）	2026-07-24（会话序推断）	阶段4~5 视觉相关commit（具体commit未核）	普通敌人改为无色、只以体型形状区分；每种技能分配专属颜色与简单几何图形图标	—	后续在 RQ-3-05（07-16）中「我们已经把所有普通敌人改为无色」被当作既成事实引用，与实现对应	已实装（据 drawEnemies/drawDrops/cardVisuals.json 推断）	**中（本轮新增）**｜[v2] 上一轮完全未覆盖视觉编码体系。用户原话完整（诊断出「颜色资源被敌人和技能同时占用」这一根因），但具体 commit 未核实
主炮形态融合正交轴分解与 impactShare 标定	会话 local_bff8dcad 用户三层追问 + GitHub PR #5 body（S-DOC-20）	2026-07-28	PR #5 三个功能性提交：9c0ae8a / 146310e / 09624d6（codex/fix-weapon-fusion → main）	beam 取最强不打折（delivery覆盖轴）/ mortar 按组内位置衰减（impact叠加轴）；radiusMul 0.6 → areaMul 0.36；新增 impactShare + baselineDps() + AttackInstance.impactBudget	PR 内新增测试逐行核对存在；三档成长下收益比值恒为 1.35	damping=0.75 与 areaMul=0.36 仍是经验值，未做同类标定（F-12）	已合并进 main	**强（本轮新增）**｜[v2] 上一轮 09 号文档称这是「本轮最大的内容缺口」。这是仓库里**唯一一条问题→建模→标定→验证全过程可在 GitHub 逐条核对且已合并的数值设计案例**。⚠ 用户贡献是三层追问与两处拍板（全额继承+目标1.35×），具体建模与标定由 Claude 完成；且该 AskUserQuestion 的作答原文未保留在 transcript 中
立项案 vs 最终形态：核心机制被推翻、外围题材反而定型	docs/炮台射击_游戏立项案.docx（Codex整理）+ legacy/task-records/01~10（S-DOC-12）	2026-07-03 前后	无对应 Git（早于仓库建立）	单文件原型十期迭代：04 改自动攻击、05 定稿魅魔世界观、07 加行动次数、08 取消行动次数	每期均有验证通过记录	07-08 的 P0-1/P0-2 正式决策与这些结果方向完全一致，但决策记录未提及已有先例	已定案，沿用至今	**中高（本轮新增，TU-84）**｜[v2] 多份独立文档时间线可交叉验证。立项案把手动瞄准/行动次数列为核心、把题材列为待验证外围，最终走向恰好相反——这是「设计迭代速度」论点的强素材，此前任何报告均未指出
用体验目标反推数值的方法论起点	会话 S-COWORK2-29（local_eceadb9c）用户完整首条指令（TU-50）	P0 立项期（序号推断，绝对日期不可考）	无对应 Git	要求交付：核心体验目标定义 + TTK/波次/点击频率/成长/失败压力五要素关系 + 最小数值模型 + 3种调参方向 + 每种方向的参数解释 + 最容易被做坏的地方	—	后续正式定案为体验目标一页纸与「手上轻脑子重」定位	已被后续更完整的体验目标体系覆盖	**中高（本轮新增）**｜[v2] 内容强（用户完整首条指令逐字可读）／时间弱（会话只有顺序无绝对日期）。这是整个项目方法论最早的文字证据
