思考单元ID	日期	项目阶段	问题域	用户原始表达或摘要	观点归属	问题	目标体验	约束	假设	候选方案	比较标准	阶段性决定	依据	测试或实现证据	后续变化	对应Git版本	当前状态	求职价值	来源ID	可信度	待补证内容
TU-11	2026-07-10	P1 合成经济	结论强度分级	用户质疑后复审修订：D1/D2=序数结论；D3=不敏感性结论最稳健；D4（手牌7格）=默认值级别非推导最优；拾取38-45次/局=选定的设计锚而非推导结果	【用户探索】→【用户否定或修正】【项目记忆】	仿真结论到底有多硬	不适用（方法论层）	贪婪bot低估真人囤卡槽压	抽象仿真只能定两类结论	把所有结论当同等强度 / 分级	结论能否在参数窗口全域成立	分三级并标注哪些必须等实测	「抽象仿真只能提前定序数比较与不敏感性两类结论，绝对标定必须等P4」	P4前置结论文档（已随回退删除）	此教训在07-12被真人试玩再次验证并升级为四条方法论	—	文档已删，仅存记忆	极高：主动给自己的结论标注置信度，是罕见的方法论自觉	S-MEM-01	中	「用户质疑」的具体内容未读到，是本轮最想补的一段
TU-12	2026-07-10	P1 交互	A/B方案	2.1交互重设计：方案A装备3格并入dock / 方案B共享10格单击锁定；两方案主画面交互完全一致以隔离A/B单一变量	【用户明确认可】【项目记忆】	装备交互该用哪种	拇指热区内完成全部操作	竖屏三段式	单变量隔离才能得出A/B结论	方案A / 方案B	5项判据：装备操作耗时/误触率/掉落过期率/首局理解率/合成停滞仿真	先出两版线框，暂定方案B为基座	保留A/B对照能力	docs/wireframes/ 两版SVG；equip-slots variant	07-12 用户人工废弃方案B（锁定可逆与永久语义冲突）	—	方案A为现行	中高：「为了隔离单一变量而刻意保持其余一致」是实验设计意识	S-MEM-01	中	A/B判据由谁拟定未确认
TU-13	2026-07-12	P2 配置重构	可配置化	P3完成：config六域拆分+variants+深合并加载器；effects通用解释器31原子8触发器；门槛/上限/二合/喂养/槽数全配置化；测试38→108	【项目文件明确记录】	策划改数值不该动代码	改数值/改卡/改规则各走各的入口	core层禁止DOM、禁止为单卡写if	通用解释器能表达全部卡牌效果	每卡硬编码 / 数据+通用解释器	是否需要工程师介入	数据+通用解释器	为后续AI协作与内容规模化留出入口	31原子/8触发器/schema v0.3.0；108测试全绿	此架构支撑了后来60张卡与25条配方的规模	阶段1（07-10~13）	仍是现行架构	高：「把策划的改动路径工程化」是可迁移能力	S-DOC-09,S-MEM-01,S-GIT-01	中高	—
TU-14	2026-07-12	P3 重大转折	体验证伪	用户首次亲自试玩后判定：游戏极其无聊、进展极其慢；每波几乎没有敌人、无事可做、无物可看；等完一整波只点了两三次鼠标	【用户明确提出】【项目文件明确记录】	27300局仿真全绿的东西为什么不好玩	每分钟都要有事发生	不适用	不适用（这是观察不是假设）	不适用	主观直觉 vs 27000局仿真数据	相信自己玩90秒的判断，推翻全部仿真结论	「Bot验证一致性，人验证乐趣」	波1配置精确复盘表：同屏≈0-1敌、全波2-3次操作、90%空屏，与主观描述完全一致	导致回退、KPI体系重建、开发流程重排	—	已成为项目主线叙事	极高：本项目最强的单一案例	S-DOC-01,S-MEM-01,S-DOC-08	高	无任何遥测来自被判无聊的那个构建（遥测HUD晚于试玩），只能用配置推演佐证
TU-15	2026-07-12	P3 重大转折	根因分析	五个根因：①KPI全是局级聚合无秒级指标 ②注意力预算锚错品类 ③只设防过载上限无参与度地板 ④威胁模型缺失 ⑤校准顺序颠倒	【项目文件明确记录】【分析推断】	为什么整套验证体系没能拦住	决策可以稀疏，刺激不能稀疏	不适用	聚合平均会掩盖结构性空洞	归咎于手感/实现bug / 归咎于数值设计本身	主观描述与配置推演是否一致	定为数值设计本身的直接后果，不归因于手感或bug	波1推演与主观描述逐项对上	docs/P6_体验重标定_反思与重构计划.md 全文	四条方法论教训被写入记忆并在后续反复引用	—	有效	极高：五个根因每一条都能单独成为面试回答	S-DOC-01,S-MEM-01	高（内容）中（执笔人）	文档很可能由 Claude 执笔，用户认可；用户自己的归因表述未读到
TU-16	2026-07-12	P3 重大转折	锚点错配	注意力预算1-3次/分锚自合并类游戏（Gossip Harbor/Travel Town）——那是无实时威胁的异步品类；正确的锚是VS/Brotato的感知负载	【项目文件明确记录】	为什么「手上轻、脑子重」被做成了「手上轻、屏幕空」	眼睛永远是忙的，手可以闲	不适用	竞品锚必须同品类才有效	保留原锚 / 换锚 / 拆成两层	锚与本作的实时性是否同构	注意力预算拆成认知决策层与感知威胁层两层	「决策可以稀疏，刺激不能稀疏」	docs/R0_体验目标修订_v2草案.md	作废合并类锚，新锚=VS/Brotato首分钟+本项目preset反推	—	两层化仍有效	极高：「竞品数据用错了地方」是极具说服力的自我批评	S-DOC-05,S-DOC-01,S-MEM-01	高	—
TU-17	2026-07-12	P4 重启	主动回退	「那是因为我已经将主分支回退到P4开始前的版本。因为现在P2的设计重构了，后续的开发也得重来。」	【用户明确提出】【历史任务原始记录】	已废弃的数值与结论要不要留着	不适用	P4/P4.1/P5的代码与结论全部废弃	设计变了，建立其上的开发就得重来	保留分支慢慢改 / 直接回退	是否会让后续开发建在错误前提上	主动回退到P3完成态	设计前提已变	S0报告写明「回退状态与设计v2.0的不一致是已知、主动、非事故」	P4/P4.1/P5 相关文档被删除	tag restart-s0（07-12）	已完成	极高：主动废弃自己27000局仿真成果，是「对沉没成本免疫」的硬证据	S-CHAT-02,S-DOC-02,S-MEM-01	高	—
TU-18	2026-07-12	P4 重启	流程铁律	「请注意一下上个版本的教训：我们发现最终可试玩的版本的界面根本没有改动，与最初没有区别，根本不是2.1阶段设计好的竖屏交互逻辑。其实不需要犹豫，完全可以删改初版没有作用的界面内容。」	【用户明确提出】【历史任务原始记录】	为什么设计好的界面到最后没被换掉	交付物必须真的是设计的那个东西	旧布局直接删除、不留兜底	留着旧界面就会退回旧界面	保留旧界面做兜底 / 直接删除	验收时能否证明旧界面已消失	铁律一：删旧界面，验收=对照线框逐项截图+grep零残留	上一版事故的直接教训	docs/可玩原型_重启开发总计划.md §0「铁律一/铁律二」	铁律二：每阶段真人验收未点头不得进下一阶段	阶段1（07-13~14 portrait布局落地）	已执行	极高：从一次交付事故中抽象出可执行验收规则，且用户原话可直接引用	S-CHAT-02,S-MEM-01	高	—
TU-19	2026-07-12	P4 重启	人工拍板	人工拍板四条：最高星级6★；3★起可装备；装备永久不可撤销；卸下=纯销毁；交互基座改回方案A	【用户明确提出】【项目记忆】	仿真结论被废弃后靠什么定	星级梯度要有双质变节点	优先级高于一切仿真结论	人的体验判断优先于抽象仿真	沿用3★上限仿真结论 / 人工重定6★	是否服务构筑深度	6★上限、3★入装、方案A	方案B锁定可逆与永久语义冲突	schema v0.4.0（stars锚点3/5/6+amplifyAxis+anchors）	07-14 装备语义两条被用户自己改选「选项B：可撤销/可消耗」	—	6★/3★/方案A仍有效；装备语义已改	极高：「我定的东西两天后我自己推翻」是成熟设计者的标志	S-MEM-01	中	四条拍板的理由链只有方案B冲突一条有记录
TU-20	2026-07-12	P4 重启	执行顺序	用户否决直接定版E1-E7门槛与R0——初版门槛值仍编码「无聊」风险，先做R1手动调参环再回填KPI	【用户否定或修正】【项目记忆】	新KPI的门槛值从哪来	手感基线必须由人玩出来	E1-E7定义定死、值全留空	没玩过就定的门槛可能重复同一个错误	直接定版门槛 / 先手动调参再回填	门槛是否可能重演无聊	先R1手动调参环，再回填KPI与R0	初版门槛值仍编码无聊风险	docs/P6_R1_手动调参环_执行计划.md（含6个可派发prompt）	R1-B 只锁定了感知/威胁层E1/E4/E5/E7；E2/E3/E6至今未回填	—	部分完成	极高：识别出「新标准可能继承旧错误」是很深的一层反思	S-MEM-01,S-DOC-01	中高	否决的原话未读到
TU-21	2026-07-12~14	P4 重启	可执行性	「我打算照你说的做，但是请更简单清楚地向我解释我发送每一步的prompt之后要做什么。你写的计划太难看懂。」/「好的，我大概明白了。但是请再说明清楚我自己调参的任务」	【用户明确提出】【历史任务原始记录】	计划写得对但没法执行	不适用（流程层）	不适用	看不懂的计划等于没有计划	接受复杂计划 / 要求改写成大白话	自己能不能照着做	要求把六步prompt流程改写成大白话，并追问自己那一步的具体任务	「你写的计划太难看懂」	改写后的流程含每轮5分钟循环、三条纪律、完成判据	后续 codex-prompt 系列均按「可直接复制派发」标准写	—	已成为工作方式	高：可讲成「对交付物可执行性的要求」，也是AI协作能力的一部分	S-CHAT-02	高	—
TU-22	2026-07-14	P4 重启	装备语义推翻	装备语义两条（永久不可撤销/卸下=纯销毁）作废，用户改选「选项B：装备可撤销/可消耗」——装备着的卡可随时拖入战场消耗释放	【用户否定或修正】【项目记忆】	不可逆装备是不是把玩家锁死了	装备着的卡也要能当消耗品用	消耗态仍受R4≤5s约束	可撤销不会破坏装备的分量	永久不可撤销 / 可撤销可消耗	是否卡死玩家的手牌流动	选项B	不详（记忆只记结果未记理由）	commit 3f31f5a「allow equipped cards to be consumed」；economy.json 至今为此值	同步改了5份文档；与P2硬规则R11冲突，S5前须拍板	3f31f5a（07-14）	现行	中高：改得对，但缺「为什么改」的记录，面试会被追问	S-MEM-01,S-DOC-08	中	**触发原因缺失**——是试玩发现还是推演发现，无任何记录。这是最值得人工补写的一条
TU-23	2026-07-14	P4 重启	顺序倒置	S4/S5顺序调整：抽象merge_sim在真卡实装前无意义、会重蹈P4仿真先行错；S4拆成S4a（人拍板provisional经济）+S4b（真卡后重写）	【用户明确提出】【项目记忆】	先建模还是先做内容	不适用（流程层）	S4与S5互为鸡生蛋	07-12的教训在这里同样适用	先S4后S5 / 先S5后S4 / 拆成a/b	是否重蹈仿真先行的错	S3→S4a→S5→S4b	「会重蹈P4仿真先行错」	docs/S4a_经济拍板_provisional.md	S4a 把满意preset焙入base，修了6个config耦合测试	阶段2（07-14~16）	已执行	高：把一次教训主动应用到新场景，证明教训是真的内化了	S-MEM-01	中	「用户目标=先做S5再一边测一边调」是记忆转述
TU-24	2026-07-14	P4 重启	口径澄清	S4a 定案 dropChance=0.27+锚=普通掉落≈55/min；同时澄清：标签写「普通·波1」但实为全8波全局均值，真人波1实际≈22/min，S4b须按逐波速率建模不套平55	【项目文件明确记录】【分析推断】	一个被当作锚的数字口径对不对	不适用	不适用	调参面板派生读数可以直接当锚	直接用55 / 澄清口径后限制用法	这个数是全局均值还是波1真值	用0.27但明确标注口径限制	脚本实算55.42是全8波均值	docs/S4a_经济拍板_provisional.md	S4b从未执行，口径澄清至今未被消费	—	悬空	高：「发现自己的锚点口径不对并写进文档」是数值岗最看重的严谨度	S-MEM-01	中	执笔人未确认
TU-25	2026-07-16	P5 内容扩张	可读性要求	「用清楚移动的语言向我解释这些可调参数的意义，输出一份md文档」+ 粘贴28个掉落导演参数的完整面板列表	【用户明确提出】【历史任务原始记录】	自己造的参数自己讲不清楚	不适用	输出必须是文档	参数只有能被讲清楚才能被调	看代码 / 要一份人话说明	调大调小分别会发生什么	产出 docs/D_掉落与拾取_调参说明.md（含「想解决什么问题该调哪个参数」速查表）	不详	该文档至今在库	此后配置说明书成为固定交付类型（配置总览手册/内容审阅手册/触发器手册三份PDF）	—	已完成	高：策划文档能力的直接证据，且是用户主动要的	S-CHAT-10	高	—
TU-26	2026-07-16	P5 内容扩张	掉落导演	普通掉落导演三角色（探索/主线/调整）+ 成熟度加权 + 同型连抽上限	【Claude提出，用户未确认】→【用户明确认可】【分析推断】	随机掉落如何既有惊喜又能成链	前期广探索、后期收敛到已投入的构筑	不改变每波经济总量	加权随机比纯随机更能形成构筑	纯随机 / 三角色加权袋	是否服务构筑成形	三角色袋（前期6/3/1→后期1/7/2）	—	dropTypePolicy.ts；bootstrapMinDiscovery=6；build.topK=3	07-23 build.topK=3 被反过来当作「并行合成链≈3」的证据用于神池设计	阶段2（07-16）	现行	高：这套参数后来成为神池系统的锚点，展示系统间的复用意识	S-CHAT-10,S-CHAT-04	中	设计由谁提出未确认
TU-27	2026-07-17	P5 内容扩张	多难度	四档难度只乘敌人HP/伤害/速度；hell=当前base原封不动作为回归对照；A出怪/B弹道/D掉落全冻结	【用户探索】→【用户否定或修正】【项目记忆】	加难度会不会把好不容易调好的手感搞坏	保护已调好的手感基线	接受低难度掉落与升级在时间轴上提前	只动敌人侧不会破坏手感	同时改B炮台弹道+C敌人 / 只改C	是否护住手感	否决改B，只乘敌人侧	护手感	codex-prompt-多难度系统.md；两阶段硬门禁（阶段1全档恒1证地狱恒等）	顺带发现既有bug：syncEnemyConfig裸公式重算会抹掉Bounty倍率	阶段2（07-17）	已实装	高：「用恒等变换做回归对照」是很硬的工程手法	S-MEM-01	中	记忆写「用户初案想同时改B+C，已否决改B」，否决者是谁不明确
TU-28	2026-07-21~22	P5 内容扩张	三阶段导演	三阶段体验导演 + 掉落节拍；密度从平铺14改为分段递增曲线，峰值让给终局	【项目文件明确记录】【分析推断】	把同屏数一路加上去对不对	前段可呼吸、中段有压力、终局有峰值	不适用	平铺高密度是错的	一路加密度 / 分段曲线	前90秒是否仍能呼吸	分段递增曲线	密度过冲阶段（中位14）被判定为错	46份遥测实测：阶段A同屏3-7→阶段B 10-18→阶段C 6-7	当前配置目标同屏与实测在波1/3/8命中，波9/10结构断裂	36300cf（07-21）	现行，波9/10有已知问题	极高：「先过冲再回调」的完整曲线有量化证据，是作品集最强的一页	S-DOC-07,S-GIT-01	高	该判断由谁作出未确认；只有结果数据没有决策对话
TU-29	2026-07-22	P5 内容扩张	BOSS机制	BOSS贴身后瞬移回边缘导致约16秒空转；改为持续伤害+曲线逼近	【用户明确提出】→【Claude核实修正】【历史任务原始记录】	BOSS贴身之后为什么什么都没发生	BOSS的威胁要能持续压迫	反伤致死必须走killEnemy以带上奖励	瞬移是根因	保持瞬移 / 改持续伤害	是否消除空转	持续伤害+曲线逼近	enemySystem.ts moveEnemies末尾的Object.assign	codex-prompt-BOSS贴身持续伤害与曲线逼近重构.md；按真实坐标540×730重算空转≈16s	参考稿的画布尺寸与hell难度倍率被逐条纠正	阶段3（07-22）	已实装	高：「参考稿说得对但细节全错」的核实过程本身是能力展示	S-CHAT-09,S-GIT-01	中高	用户原始描述未读到
TU-30	2026-07-23	P6 神池构筑	广度问题	卡牌构筑广度不足——全库只有11张，等于「本局11张=全部卡库」，局间没有差异	【用户明确提出】→【Claude重述锚点】【历史任务原始记录】	为什么每局玩起来都一样	局间要有构筑广度	装备槽=3	并行合成链数才是真约束（而非单波卡数）	按单波5-7卡设计 / 按并行链≈3设计	锚点是否已被代码写死	锚定「并行合成链≈3」（=3装备槽=build.topK=3）	3装备槽↔3神↔3-4条链天然对齐	docs/神池系统_设计方案_v1.md	内容量硬账：11张→≈35张，近3倍，须进阶段计划	阶段4（07-23~24）	已实装并扩到60张	极高：把模糊的「不够丰富」翻译成一个被代码写死的量化锚，是策划核心能力	S-CHAT-04,S-MEM-01	高	用户提出「并行链」的原句未读到；Claude称其为「你最后一段点出的」
TU-31	2026-07-23	P6 神池构筑	神的定位	神/流派同义，但必须像 Hades 的神，而非现在的功能类别	【用户明确提出】【项目记忆】	流派标签为什么没有身份感	五神要有各自的气质而非功能分类	旧BuildTag降级为机制标签	身份感来自包装+专属资源而非功能划分	新增godId层 / 复用现有synergyTags	是否有身份感	神=重新设计后的流派，新增独立god字段	「像Hades的神」	gods.json；卡牌god字段；遗物按神过滤	07-29 进一步深化为五神各自不同的资源类型（神印）	阶段4（07-23）	现行	极高：一句话把抽象体验诉求（身份感）钉在可实现的字段上	S-MEM-01	中	原话经记忆转述，语境未读到
TU-32	2026-07-23	P6 神池构筑	波次结构	单局波数8→10波（3招募+5收敛+2兑现）；第10波即终局Boss波，不追加独立Boss	【用户明确提出】【项目记忆】【项目文件明确记录】	10-14分钟的时间预算怎么和波次结构对上	招募波要够长，让副神B也有5个构筑波长成	代码里根本没有独立Boss（bossWaves=[1..8]是每波波末精英）	二合升级要囤副本，一条链从0到能装备要跨2-3波	8波+独立Boss / 10波无独立Boss	时间口径是否自洽	10波，第10波即终局	10×59+9×20≈12.8分钟正好落在10-14中位	docs/神池构筑系统_总纲与阶段计划.md 决策4	P6_新KPI体系_v2_定版.md 因此被清空至今未重写	阶段4（07-23）	波次结构现行；KPI表仍空	高：从「时间预算」反推「波次结构」的完整算式	S-MEM-02,S-DOC-03,S-DOC-06	中高	「用户拍板」为记忆转述
TU-33	2026-07-23	P6 神池构筑	架构分水岭	C1-C3是架构分水岭：在决策队列、本局卡组、本波活跃池完成前，不得开始批量制作35张正式卡	【项目文件明确记录】	内容做早了会不会白做	不适用（流程层）	C8前置检查项	架构不稳时做内容必然返工	并行做内容 / 卡在分水岭	返工风险	设为硬门禁	架构未定时批量制卡必返工	docs/神池构筑系统_总纲与阶段计划.md §三	07-30 仍然发生了返工（35卡因缺原语被静默摊平，见TU-37）	阶段4（07-23~24）	门禁有效但未拦住TU-37那类问题	高：设了正确的门禁，却仍被另一类问题击穿——这个对比本身很有价值	S-DOC-03,S-MEM-05	高	—
TU-34	2026-07-24	P5/P6	缺陷审计	maxHpAdd装备词条彻底失效（8张卡的词条池里有，但stats.ts无消费者）；HUD分母写死/100；离散取整致aegis 4个取值中3个零提升	【用户明确提出】→【Claude核实并纠正ChatGPT两处不实项】【历史任务原始记录】	抽到的词条到底有没有生效	玩家抽到的每一条词条都必须真的起作用	不得照抄ChatGPT参考稿	参考稿的断言必须逐条核代码	照做参考稿 / 逐条核实	是线上BUG还是潜在隐患	只修真实缺陷，heal被明确降级为防御性修复	「全量skills.json的affixPool里没有任何卡带heal」	codex-prompt-BUG-数值词条未生效-血上限修复.md	后续所有ChatGPT报告都走同一套核实流程	阶段4后期（07-24）	已修	高：「AI给的清单里有一半是假的」这个经验很稀缺	S-CHAT-08	高	用户最初的描述未读到
TU-35	2026-07-26~29	P7 工具化	改数值要不要求人	配置编辑器v1（表单式）→Excel双向同步→内容设计工作台（只读→内联文案编辑→多域联动保存三步迭代）	【项目文件明确记录】【分析推断】	策划改数值为什么要等工程师	不适用（流程层）	落盘全走管线，编辑器不自己序列化	把配置暴露成表单就能自助	继续手改JSON / 做编辑器	是否还需要工程师介入	做编辑器+Excel双向同步	「把策划改数值要不要求工程师这件事系统性解决掉」	15个可写域取自WRITABLE_DOMAINS；/__config/validate 实时校验；422不落盘	三份PDF说明手册（配置总览/内容审阅/触发器原子）随之产出	阶段5（07-26~29）	现行	高：「自己给自己造工具」在策划岗是加分项，且有可验证产物	S-CHAT-13,S-GIT-01,S-MEM-11	中高	—
TU-36	2026-07-29	P8 大重构	同质化诊断	41卡诊断硬数据：33原子中9个全5神共用、仅2个独占；3★结构指纹撞车3处；9个纯数值占位分叉；联动闸门覆盖率仅39%	【用户明确提出】→【Claude量化】【项目记忆】	为什么五个神玩起来差不多	五神要有各自的决策结构而非各自的数字	不适用	缺的不是更多原子，是卡与卡之间可交易的资源	加更多原子 / 加可交易资源	是自闭环还是有资源交换	下沉身份到trigger+闸门层（神印）	「41张卡全是自闭环（触发→立即结算→结束），所以卡间只能做加法」	scripts/audit_content.py 五段可复跑体检	同日三轮修订，两次被代码事实推翻（见TU-38）	阶段6（07-29）	方案已定，部分实装	极高：把「感觉差不多」量化成五组硬数据+一个结构性论断	S-MEM-03	中高	用户的问题3/4/5原文未读到
TU-37	2026-07-30	P8 大重构	原语缺口	引擎根本没有目标定位层；上一轮35卡实装缺原语时把设计语义静默压成炮台中心静态效果，210支分支里64支（30%）在不同卡之间字节级完全相同	【项目文件明确记录】【项目记忆】	为什么照着设计表做出来的卡还是一样	每张卡的分支要真的不同	严禁从skills.json反向生成夹具	根因不是漏写函数，是设计表是散文、校验器没有设计期望的机器表示	补写缺失效果 / 建立设计指纹夹具	能否防复发	T1-T6原语契约 + designFingerprints.json + V15/V16硬失败	「任何实装偏离都无人拦截」	docs/目标定位原语与卡牌回填_规格_v1.md（27组64支逐支差异化指令）	V1/V7/V13三条既有校验被证明拦不住跨卡指纹重复	阶段6（07-30，单日20 commit）	规格已出，回填进行中	极高：「把散文设计表编译成机器可读期望」是内容规模化的硬核解法	S-DOC-04,S-MEM-05	高	—
