思考或决定	聊天或文档来源	日期	Git版本或提交	实际修改	测试结果	后续修正	当前状态	证据强度
10波三段式，第10波即终局Boss	docs/神池构筑系统_总纲与阶段计划.md 决策4	2026-07-23	阶段4 waves配置commit	totalWaves=10，3招募+5收敛+2兑现	10×59+9×20≈12.8分钟落回10-14中位	docs/P6_新KPI体系_v2_定版.md 因此被清空至今未重写	波次现行；KPI表仍空	强（配置可读，清空原因写在文件里）
maxHpAdd词条失效等四项缺陷修复	会话 local_c531f803 / codex-prompt-BUG-数值词条未生效-血上限修复.md	2026-07-24	阶段4后期 BUG修复commit	引入baseMaxHp+totalMaxHp+reconcileMaxHp；HUD分母修复；取整校验	数据驱动测试清单	纠正ChatGPT两处不实项（heal降级为防御性修复）	已修	中强
防御反馈六种CombatVfx + 确定性护栏	会话 local_9d9aedbc	2026-07-24	阶段4 防御反馈VFX commit	吸收闪/破盾环/重铸环/反伤回冲弧/反击冲击环/减伤内闪；四处结算点接线	确定性护栏测试（一律走state.vfx，绝不新增spawnParticle）	—	已实装	中
配置管线v1+配置编辑器v1+Excel双向同步+内容工作台	会话 local_b7898cb0 / docs/配置管线v1_说明.md 等	2026-07-26~29	阶段5「固化1-4」系列 + 编辑器commit（ff1d1ce等）	15个可写域；/__config/validate 实时校验；422不落盘；ATOM_CONTRACT驱动表单	npm run validate 0 error/0 warning，76文件648用例	后扩为内容设计工作台三步迭代	现行	强（可实跑npm run validate复验）
内容差异化诊断：缺的是可交易资源	记忆 projectvl-content-differentiation-diagnosis / scripts/audit_content.py	2026-07-29	阶段6 相关commit	五段体检脚本；神印方案；chain.spreadStatus（唯一新增引擎能力，3-5行）	41卡硬数据可复跑	同日被代码事实推翻两次（九宫格/equipSlots=3）	方案已定，部分实装	强（脚本可复跑）
mergeRule退役，经济原子改零行为契约	记忆 / S0报告更新	2026-07-29	277a380（mergeRule退役）+ 阶段6 commit	由mergeMaterialRefund / wildcardRewardBonus 两个专用原子承接	tests/fusionOrderInvariance.test.ts 守着	—	已完成	强
25格有向矩阵配方系统	会话 local_398de36d / 记忆 projectvl-evolution-recipe-system	2026-07-30	e4ff2f9 / e87249c / 3c75312（07-30，单日20commit）	25条命名配方5×5矩阵；灰盒B0-B3分期；名册生成逻辑一行未改	7500状态穷举，零配方局0%	接受2:1不对称并改KPI口径；保底只发最低星复制卡	已实装	强（commit+数学验证+脚本核验三重）
奖励蓄力条替换经验/等级/遗物	记忆 reward-meter-refactor-prompt	2026-07-30	e8d839c / 3142b47 / c61a2dd；checkpoint提交 + archive/pre-reward-meter-v4 与 -2026-07-30 两分支	删relics.json/relicsEditor/relicView/xlsx relics sheet；REWARD_CELEBRATION_MS=2200非阻塞	—	08-04复核：它正是终局构筑兑现来源，结论改为「谁都不许加屏蔽开关」	现行	强（含显式风险备份提交与两个归档分支）
目标定位原语缺口+设计指纹夹具	docs/目标定位原语与卡牌回填_规格_v1.md / 记忆	2026-07-30	对应07-30内容重写批次；codex-prompt-全卡正式实装-原语与回填与配方卡.md	T1-T6原语契约；designFingerprints.json；V15硬失败/V16	64/210支跨卡字节级同构的实测	25配方卡实装规格§1.0作废，C6/C7由T5/T6取代	规格已出，回填进行中	强（可grep复验）
基础属性词条分区（乘区拆分）	codex-prompt-N2-基础属性倍率词条与词条分区.md / docs/基础属性词条分区_落地说明.md	2026-07-30	分支 refactor/affix-base-stat-mul（已合入main）	乘区拆分	—	—	已合入	中强
texts.json事故与加固	记忆 projectvl-main-broken-2afc292-recovery	2026-07-31	2afc292（事故）→ 13324f3 / 6bc5217 / 78d5516（40分钟内止血三连）	恢复texts.json；补齐5个模块；新增validateTextsFile接入构建	validateTextsFile 至今在绿（170699字节/20顶层键/35节点/210分支）	—	已闭环	强（commit序列+校验脚本可复跑）
卡面尺寸预算与三条红线测试	记忆 projectvl-card-face-layout-budget	2026-07-31	阶段6~7 卡面文案重排commit	standard/compact两套变体实测；dock只剩2px	cardTitleLayout / renderSmoke / compactStageProportion 三条红线测试	—	现行	强（实测值+测试守护）
AI报告事实核查与作品集定级	会话 local_81450cb6 / docs/作品集证据核对报告 + Git事实核查报告	2026-08-04~06	7c10f3c（08-04）；建议的 portfolio-baseline tag 未打	三份专项报告；实跑13项基线	94测试文件/756测试全绿；tsc干净；配置16项×2变体0错0警	新增原则：AI分析进母档前必须人工用可复现命令核验	进行中	强（全部数字本次实跑）
Unity移植线（协作者独立复刻）	docs/Git事实核查报告 §二.3	2026-07-28~08-03	origin/agent/unity-port：240提交，领先main 120；PR#4（草稿）	414文件改动，+65774/-4	团结EditMode测试240/240通过；卡池核对35/35+6/6缺失为0；Windows构建成功	—	进行中，作者 wlh219627-art	强（GitHub API可核）
