来源ID	来源类型	标题或路径	日期（口径）	项目阶段	主要内容	含用户原始表达	是否完整读取	是否纳入分析	可靠性	备注
S-DOC-03	本地项目文件	docs/神池构筑系统_总纲与阶段计划.md	2026-07-23（文内）	P6 神池构筑	11条已拍板决策；C0-C9依赖表；共同契约；七项延后清单；八条整体验收	标注已拍板但未标由谁拍板	是	是	高	阶段计划的范本级文档
S-DOC-04	本地项目文件	docs/目标定位原语与卡牌回填_规格_v1.md	2026-07-30（文内）	P8 大重构	引擎缺六类目标定位语义；D1/D2/D3缺陷分类；T1-T6原语契约；设计指纹夹具	否	是（前60行）	是	高	可复验的技术诊断
S-DOC-05	本地项目文件	docs/R0_体验目标修订_v2草案.md	2026-07-14（文内）	P4 重启	注意力预算两层化；作废合并类锚改锚VS与Brotato	否	是	是	高	P6根因2的直接产物
S-DOC-06	本地项目文件	docs/P6_新KPI体系_v2_定版.md	2026-07-23清空	P4/P6	文件已被清空，仅存清空原因（8→10波致原表失效）	否	是	是	高	本身就是一条未闭环证据
S-DOC-07	本地项目文件	docs/作品集证据核对报告_2026-08-04.md	2026-08-04（文内）	P9 作品集	逐条核对ChatGPT报告4硬错3半真；46份遥测等于密度三段史；当前版本4个真实问题	否	是（前110行）	是	高	本轮引用其已实跑验证的数字
S-DOC-08	本地项目文件	docs/Git事实核查报告_作品集用_2026-08-04.md	2026-08-04（文内）	P9 作品集	GitHub API 核查5个PR；Unity移植线240提交；三条强证据故事分级	否	是（前60行）	是	高	含协作者 wlh219627-art 的独立复刻证据
S-DOC-09	本地项目文件	项目总览.md	2026-07-12（文内）	P2 配置重构	P3完成态的工程结构与开发流程约定	可能由用户确认	是	是	中高	—
S-DOC-10	本地项目文件	docs/ 其余40+份设计文档与68份 codex-prompt-*.md	2026-07-03 ~ 07-31	全阶段	五神35卡设计表v1/v3/v4、25配方方案、可玩原型重启总计划、P2技能框架、掉落导演说明、P6_R1执行计划等	部分	否（仅索引与抽读）	部分	中	本轮建立索引，未逐份精读
S-DOC-11	本地项目文件	docs/炮台射击_游戏立项案.docx	2026-07-03（mtime）	P0 立项	项目最初立项案	很可能是用户执笔	否（未解析docx）	否	—	待补读，可能含用户最原始的设计意图
S-DOC-12	本地项目文件	legacy/task-records/01-立项模板 ~ 10-全量打包	2026-07-07（mtime，内容更早）	P0 单文件原型	单文件原型十期迭代过程记录	很可能是用户执笔	否	否	—	待补读，是 Git 之前的唯一过程证据
S-DOC-13	本地项目文件	telemetry/ 46份真人对局会话 JSON	2026-07-13 ~ 07-31	P4-P9	events/samples/inputs 三段，含 config 快照	否（行为数据非表达）	否（仅经S-DOC-07转引）	部分	高	项目最强量化资产，本轮未直接解析
S-DOC-14	本地项目文件	docs/evidence/e_metrics_first90.csv 与 e_metrics_perwave_0731.csv	2026-08-04	P9 作品集	用当前尺子回算46局历史会话的E指标	否	否（经S-DOC-07转引）	部分	高	作品集设计目标对实测交付表的数据源
S-GIT-01	Git分析报告	docs/Git版本迭代报告_作品集整理用_2026-08-04.md	2026-08-04	全阶段	main 121提交、七阶段时间线、分支地图、设计决策到commit证据链表	否	是	是	高	本复盘的时间轴交叉验证基准
S-GIT-02	Git记录（未直接执行）	仓库 git log / 分支 / tag	2026-07-07 ~ 08-04	全阶段	本轮未执行任何 git 命令，全部经 S-GIT-01 与 S-DOC-07/08 转引	否	否	间接	中高	遵守不修改Git历史约束，且避免重复劳动
